product_id,product_name,brand,fiber,yarn_weight,department,category,subcategory,color_family,keywords,availability,on_sale,in_stock,is_new
1f5cbfad-e079-415e-9ce3-4c03b513a625,Yarn Bee Yarntopia Yarn,Yarn Bee,100% Acrylic,2 - Fine,Yarn & Needle Art,Yarn & Tools,Yarn,blue,,BOTH,True,True,False
36197574-0587-4968-ac93-1ba9b1ad7985,Yarn Bee Velvety Smooth Sparkle Yarn,Yarn Bee,94% Cotton & 6% Metallic Polyester,4 - Medium,Yarn & Needle Art,Yarn & Tools,Yarn,green,,BOTH,True,True,False
f9b89d02-65bb-4ff0-b2b0-65b3c93c5484,Yarn Bee Braided Basics String - 3mm,Yarn Bee,,5 - Bulky,Yarn & Needle Art,Yarn & Tools,Yarn,blue,,BOTH,,True,False
5e77b198-029b-4ab5-a7d8-1b29d76f2b76,I Love This Chunky Yarn,I Love This Chunky,100% Acrylic,5 - Bulky,Yarn & Needle Art,Yarn & Tools,Yarn,brown,,BOTH,True,True,False
c9c8a1f1-eecd-4257-93b2-1b2e9593137d,Yarn Bee Authentic Hand-Dyed Yarn,Yarn Bee,100% Super Wash Merino Wool,1 - Super Fine,Yarn & Needle Art,Yarn & Tools,Yarn,multi,,BOTH,True,True,False
6de4ba31-5ad2-47bb-8d37-8b5454579723,Yarn Bee Bamboo-Tiful Yarn,Yarn Bee,50% Cotton & 50% Viscose,3 - Light,Yarn & Needle Art,Yarn & Tools,Yarn,purple,,BOTH,True,True,False
765df838-7a4c-423d-a8d7-69c9d3054d17,Baby Bee Adore-A-Ball Yarn,Baby Bee,100% Polyester,5 - Bulky,Yarn & Needle Art,Yarn & Tools,Yarn,orange,,BOTH,True,True,False
cb1565c7-bf24-4398-8db4-d3e640f1ada0,Yarn Bee Velvety Smooth Yarn,Yarn Bee,100% Polyester,5 - Bulky,Yarn & Needle Art,Yarn & Tools,Yarn,orange,,BOTH,True,True,False
352a10f8-8d34-4879-b909-75507c6ea7ca,Sparkle Yarn Bee Soft & Sleek Yarn,Yarn Bee,98% Low Pill Acrylic & 2% Metallic Polyester,4 - Medium,Yarn & Needle Art,Yarn & Tools,Yarn,silver,,BOTH,True,True,False
f15ac9ac-14be-4223-8c21-fd88d3d192c5,Yarn Bee Effortless Super Bulky Yarn,Yarn Bee,80% Acrylic & 20% Alpaca,6 - Super Bulky,Yarn & Needle Art,Yarn & Tools,Yarn,multi,,BOTH,True,True,False
2e9fa51d-e8df-47d6-875b-611421bea737,Baby Bee Sweet Delight Yarn,Baby Bee,60% Acrylic & 40% Polyamide,3 - Light,Yarn & Needle Art,Yarn & Tools,Yarn,gray,,BOTH,True,True,False
13c74707-310c-4009-8ab1-8564dc1a1e13,Yarn Bee Perfectly Plush Yarn,Yarn Bee,100% Micro Polyester,7 - Jumbo,Yarn & Needle Art,Yarn & Tools,Yarn,orange,,BOTH,True,False,False
1044f207-1584-4040-80ed-bb8b68389826,Yarn Bee Dream Supreme Yarn,Yarn Bee,100% Premium Micro Acrylic,6 - Super Bulky,Yarn & Needle Art,Yarn & Tools,Yarn,pink,,BOTH,True,False,False
57df65b3-344f-4948-ab0c-554fb4ba86f4,Lion Brand Ice Cream Yarn,Lion Brand,100% Acrylic,3 - Light,Yarn & Needle Art,Yarn & Tools,Yarn,multi,,BOTH,True,False,False
9750e288-b8e2-4304-ad30-0e46f760d39b,Yarn Bee Must Be Merino Aran Yarn,Yarn Bee,"50% Merino Wool, 25% Acrylic & 25% Nylon",4 - Medium,Yarn & Needle Art,Yarn & Tools,Yarn,gray,,BOTH,True,False,False
78e60eaf-7218-4a56-9ba4-8c0e583c5c77,Yarn Bee Chloe Yarn,Yarn Bee,70% Wool & 30% Viscose,4 - Medium,Yarn & Needle Art,Yarn & Tools,Yarn,multi,,BOTH,True,False,False
11f371cf-c7bf-4e80-908a-837aac39f16a,Baby Bee Sweet Delight Pomp Yarn,Baby Bee,"54% Acrylic, 36% Polyamide & 10% Rayon",3 - Light,Yarn & Needle Art,Yarn & Tools,Yarn,pink,,BOTH,True,False,False
